종목,시세,등락률,시가총액,거래량
한미반도체,"15,850",0.70,"15,428","1,054,646"
LX세미콘,"94,500",-2.38,"15,370","121,524"
롯데정밀화학,"59,400",-0.83,"15,325","53,992"
LS ELECTRIC,"50,500",-1.17,"15,150","111,235"
현대위아,"55,400",-1.60,"15,066","161,062"
두산,"90,400",-0.77,"14,938","183,762"
한전KPS,"33,050",-0.75,"14,873","68,672"
효성,"69,400",-1.56,"14,623","29,118"
TIGER 미국테크TOP10 INDXX,"9,770",0.31,"14,621","251,724"
현대일렉트릭,"39,950",-0.62,"14,401","148,587"
녹십자,"120,400",-1.23,"14,071","34,962"
SK케미칼,"81,300",-0.37,"14,027","32,186"
대웅제약,"119,200",0.00,"13,811","88,277"
동국제강,"14,300",-2.12,"13,647","412,164"
아이에스동서,"43,550",-0.91,"13,454","915,794"
DL이앤씨,"34,250",-2.70,"13,253","173,652"
DGB금융지주,"7,800",-0.64,"13,193","463,916"
덴티움,"117,200",-0.76,"12,973","49,491"
코스모화학,"37,000",-2.63,"12,953","3,286,929"
현대백화점,"55,300",-0.72,"12,942","77,275"
TIGER 2차전지테마,"21,830",0.48,"12,934","993,882"
코오롱인더,"46,700",-2.30,"12,851","98,777"
한국앤컴퍼니,"13,430",-0.52,"12,750","36,212"
KODEX 단기채권PLUS,"105,690",0.01,"12,748","16,090"
LX인터내셔널,"32,650",-0.15,"12,655","127,851"
KODEX 2차전지산업,"22,435",0.29,"12,541","1,593,702"
에스엘,"27,000",-1.64,"12,541","139,191"
KODEX 삼성그룹,"9,030",-0.50,"12,371","212,215"
GKL,"19,990",-1.77,"12,365","309,516"
DL,"58,300",-1.02,"12,217","71,268"
KBSTAR 200,"32,305",-0.90,"12,098","114,737"
제주항공,"15,680",-0.25,"12,073","380,277"
후성,"12,700",-3.20,"11,983","1,221,085"
영풍,"640,000",0.00,"11,789","2,943"
대한유화,"179,900",-5.27,"11,694","96,495"
SK가스,"126,300",0.40,"11,658","4,131"
율촌화학,"47,000",0.21,"11,656","66,149"
현대엘리베이,"28,200",-1.91,"11,510","59,043"
일진하이솔루스,"31,550",-0.79,"11,457","45,937"
현대건설기계,"57,600",-1.54,"11,348","88,531"
코리안리,"8,000",1.27,"11,266","388,178"
롯데제과,"118,800",-1.00,"11,208","5,183"
동원시스템즈,"38,550",-3.26,"11,176","54,325"
한샘,"45,750",-1.82,"10,767","27,830"
신풍제약,"20,300",-1.22,"10,756","194,788"
KODEX 23-12 은행채(AA+이상)액티브,"10,190",0.00,"10,687","31,747"
솔루엠,"21,200",-1.40,"10,601","108,210"
더존비즈온,"34,700",1.31,"10,543","79,867"
아시아나항공,"14,150",0.86,"10,529","203,536"
TIGER 단기통안채,"102,625",0.02,"10,452","1,430,111"
대웅,"17,880",-0.50,"10,396","79,263"
NHN,"28,800",-0.17,"10,373","66,372"
롯데관광개발,"13,990",-1.48,"10,270","533,870"
SK네트웍스,"4,130",-0.48,"10,250","658,209"
PI첨단소재,"34,850",-2.65,"10,234","160,868"
대덕전자,"20,700",-1.66,"10,229","333,174"
종근당,"81,000",1.00,"10,180","18,469"
오리온홀딩스,"16,070",-0.37,"10,067","41,255"
TIGER TOP10,"10,460",-0.66,"10,057","64,528"
SK리츠,"5,100",0.00,"10,024","156,758"
풍산,"35,750",-1.65,"10,019","174,343"
F&F홀딩스,"25,550",0.79,"9,994","132,900"
롯데렌탈,"27,000",-0.37,"9,891","23,256"
KODEX 인버스,"4,790",0.84,"9,815","24,095,798"
하나투어,"60,900",-0.33,"9,768","54,638"
다우기술,"21,700",-2.47,"9,736","101,384"
금호타이어,"3,365",-0.59,"9,666","254,121"
명신산업,"18,300",-2.14,"9,602","274,890"
영원무역홀딩스,"70,200",1.01,"9,572","16,085"
한국콜마,"41,800",0.00,"9,564","34,418"
롯데리츠,"3,905",3.72,"9,488","201,028"
KODEX Top5PlusTR,"15,805",-1.31,"9,341","3,636"
코스맥스,"80,900",-0.12,"9,182","56,727"
삼양식품,"121,000",-0.49,"9,115","34,173"
KODEX 코스닥150레버리지,"8,125",-1.81,"9,003","14,939,816"
제이알글로벌리츠,"4,540",1.11,"8,961","132,814"
미원상사,"182,500",-0.05,"8,851","1,959"
태광산업,"786,000",-1.26,"8,751",792
KBSTAR KIS종합채권(A-이상)액티브,"96,540",0.32,"8,677",182
ESR켄달스퀘어리츠,"4,060",2.01,"8,651","139,743"
KG스틸,"8,610",-4.55,"8,611","3,124,620"
더블유게임즈,"46,800",0.86,"8,599","25,706"
이노션,"42,800",0.47,"8,560","8,988"
LG전자우,"49,500",-0.80,"8,507","28,261"
진에어,"16,270",0.68,"8,493","69,843"
한일시멘트,"12,070",-0.25,"8,360","66,964"
CJ CGV,"17,340",-2.14,"8,275","103,265"
세방,"42,700",1.79,"8,245","194,888"
한올바이오파마,"15,740",-1.13,"8,223","101,476"
신세계인터내셔날,"22,850",-3.18,"8,157","198,696"
바이오노트,"7,980",-1.48,"8,130","461,632"
TKG휴켐스,"19,390",-1.27,"7,926","52,233"
대한해운,"2,445",-0.61,"7,804","1,165,094"
SBS,"42,700",2.89,"7,794","415,919"
녹십자홀딩스,"15,980",-0.50,"7,515","74,482"
넥센타이어,"7,650",-0.78,"7,472","84,836"
KODEX 단기채권,"105,080",0.02,"7,471","425,381"
TIGER 200 IT,"30,090",-0.53,"7,450","110,720"
SNT모티브,"49,700",0.30,"7,268","29,398"
미원에스씨,"141,400",0.71,"7,211","1,297"
세방전지,"51,300",-0.97,"7,182","77,749"
동양생명,"4,395",1.27,"7,092","106,744"
현대그린푸드,"7,250",3.42,"7,084","1,014,317"
우리종금,800,-1.11,"6,994","862,448"
쏘카,"21,350",-2.29,"6,993","73,497"
HDC현대산업개발,"10,600",-1.85,"6,986","197,391"
제주은행,"21,650",-0.92,"6,956","1,463,777"
대상,"20,050",0.00,"6,947","73,406"
한세실업,"17,330",0.87,"6,932","116,617"
해성디에스,"39,900",-0.37,"6,783","102,842"
DN오토모티브,"67,500",-2.03,"6,746","22,311"
삼양홀딩스,"78,000",-0.64,"6,680","16,153"
한화투자증권,"3,110",0.97,"6,672","692,623"
대신증권,"13,130",-0.45,"6,667","21,332"
세아제강지주,"160,800",0.50,"6,660","10,860"
쿠쿠홈시스,"29,550",0.34,"6,630","13,945"
효성중공업,"70,800",-2.75,"6,602","101,704"
세아베스틸지주,"18,370",-2.13,"6,588","89,423"
한섬,"26,650",-0.19,"6,564","65,026"
LX홀딩스,"8,520",0.59,"6,499","184,079"
삼성 인버스 2X 천연가스 선물 ETN C,"64,840",-12.25,"6,484","95,375"
드림텍,"9,610",1.16,"6,478","170,667"
일동제약,"24,050",-2.04,"6,446","219,094"
KCC글라스,"40,300",-2.42,"6,436","35,150"
동원F&B,"166,300",-0.42,"6,418","3,391"
티와이홀딩스,"12,600",-0.47,"6,417","111,670"
현대홈쇼핑,"52,500",-0.38,"6,300","9,295"
KODEX 자동차,"17,700",-0.81,"6,284","188,688"
SK디스커버리,"33,000",-0.90,"6,282","20,102"
KODEX 코스닥150,"11,145",-1.11,"6,247","5,797,920"
KODEX MSCI Korea TR,"10,630",-0.75,"6,240","119,941"
보령,"9,080",0.22,"6,237","114,162"
티웨이항공,"3,190",-1.54,"6,202","1,140,556"
부광약품,"8,710",-3.01,"6,190","210,328"
동아쏘시오홀딩스,"97,300",-0.51,"6,177","2,954"
영진약품,"3,345",-1.62,"6,118","265,645"
프레스티지바이오파마,"10,170",0.59,"6,112","62,460"
SPC삼립,"70,700",-1.12,"6,101","5,331"
LG생활건강우,"289,500",-1.03,"6,079","4,777"
이수페타시스,"9,420",15.87,"5,958","46,643,504"
한국단자,"57,000",-0.35,"5,937","4,083"
ARIRANG 200,"32,765",-0.97,"5,930","30,168"
파미셀,"9,850",-1.40,"5,912","244,509"
케이카,"12,190",-0.16,"5,862","262,945"
자화전자,"28,850",-0.35,"5,842","120,807"
삼아알미늄,"39,500",-0.50,"5,811","246,791"
이수화학,"20,750",0.73,"5,802","469,867"
지누스,"30,650",-2.54,"5,793","79,272"
쿠쿠홀딩스,"16,080",-0.37,"5,718","7,899"
신영증권,"60,100",-0.17,"5,641",601
진원생명과학,"7,250",-2.16,"5,637","336,142"
유안타증권,"2,820",0.89,"5,629","112,127"
화승엔터프라이즈,"9,280",-2.01,"5,623","146,271"
한화손해보험,"4,770",3.47,"5,568","1,165,602"
QV 코스피 변동성 매칭형 양매도 ETN,"7,910",0.00,"5,537",-
현대에너지솔루션,"49,250",-2.67,"5,516","92,545"
HSD엔진,"7,670",-3.03,"5,487","754,201"
HANARO 200,"32,185",-0.88,"5,455","5,656"
고려제강,"21,750",-2.68,"5,438","39,726"
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"9,435",0.48,"5,416","43,109"
유니드,"79,500",-1.61,"5,380","28,884"
경동나비엔,"36,650",-2.66,"5,339","50,084"
KBSTAR 23-11 회사채(AA-이상)액티브,"51,375",-0.02,"5,325","16,978"
ACE 종합채권(AA-이상)KIS액티브,"94,925",0.32,"5,307",131
삼성 레버리지 WTI원유 선물 ETN,"1,310",4.80,"5,292","1,692,345"
DI동일,"20,650",7.44,"5,280","501,829"
ACE 미국S&P500,"13,240",0.53,"5,230","89,087"
동아에스티,"61,900",-1.59,"5,228","5,996"
미래에셋생명,"2,930",1.74,"5,187","79,779"
삼성화재우,"161,600",-0.19,"5,158","8,377"
LF,"17,630",0.69,"5,155","53,182"
미래에셋증권2우B,"3,680",0.14,"5,152","156,017"
KBSTAR 단기통안채,"106,930",0.02,"5,102","978,965"
NICE,"13,450",-0.59,"5,095","12,599"
KODEX 선진국MSCI World,"20,605",0.66,"5,089","60,830"
한국카본,"11,570",-2.03,"5,086","371,452"
동일산업,"207,000",0.73,"5,020","2,803"
효성화학,"156,800",-1.45,"5,002","40,392"
아모레퍼시픽우,"47,200",-0.74,"4,983","9,808"
엠씨넥스,"27,650",-1.25,"4,971","48,297"
롯데손해보험,"1,590",0.00,"4,934","173,356"
TIGER 미국달러단기채권액티브,"11,190",0.54,"4,928","75,572"
삼성SDI우,"303,500",0.66,"4,910","3,095"
신한알파리츠,"6,650",0.76,"4,910","79,120"
애경산업,"18,580",0.22,"4,907","34,704"
삼화콘덴서,"46,550",-1.79,"4,839","80,802"
신한 레버리지 WTI원유 선물 ETN(H),955,4.37,"4,775","958,541"
에어부산,"4,090",-1.45,"4,771","517,820"
KOSEF 200TR,"39,255",-0.88,"4,750","9,514"
콘텐트리중앙,"24,500",-2.58,"4,719","129,631"
KODEX 코스닥150선물인버스,"4,775",1.06,"4,703","27,138,046"
KODEX 미국S&P500TR,"11,695",0.56,"4,637","343,203"
삼양사,"44,800",-1.32,"4,620","14,780"
JW중외제약,"20,700",-2.13,"4,591","61,939"
코람코에너지리츠,"5,180",0.97,"4,586","39,541"
KB스타리츠,"4,500",-0.66,"4,564","49,766"
SK디앤디,"20,550",-0.48,"4,560","10,383"
송원산업,"18,870",-4.02,"4,529","199,051"
남해화학,"9,070",-1.20,"4,506","183,142"
BGF,"4,650",-0.43,"4,451","113,212"
SGC에너지,"30,300",0.66,"4,447","20,189"
남양유업,"610,000",0.33,"4,392","3,314"
롯데정보통신,"28,100",-0.35,"4,326","27,348"
TIGER 단기채권액티브,"51,555",0.01,"4,299","898,285"
TIGER KRX2차전지K-뉴딜,"15,200",0.10,"4,271","327,297"
세아홀딩스,"106,500",-1.48,"4,260",232
TYM,"2,785",-3.13,"4,243","5,203,737"
신영증권우,"60,000",-0.17,"4,232",752
TIGER KOFR금리액티브(합성),"100,800",0.01,"4,231","3,388"
ACE 미국나스닥100,"12,190",0.54,"4,230","64,585"
풀무원,"11,090",4.33,"4,228","1,169,070"
ACE 200,"32,490",-0.87,"4,175","2,573"
빙그레,"42,350",0.12,"4,172","11,522"
에이프로젠,"1,640",-2.67,"4,160","1,113,683"
KODEX 단기변동금리부채권액티브,"105,850",0.05,"4,159","3,087"
국도화학,"45,600",1.45,"4,109","40,266"
애경케미칼,"8,380",-1.64,"4,077","263,480"
세아제강,"142,800",-2.46,"4,050","8,044"
TIGER 24-10 회사채(A+이상)액티브,"52,030",0.08,"4,019","78,085"
KODEX 미국FANG플러스(H),"20,745",-0.50,"4,018","62,996"
KODEX 미국나스닥100TR,"10,480",0.38,"3,982","100,212"
TIGER 미국S&P500선물(H),"46,460",-0.02,"3,961","164,633"
잇츠한불,"17,990",1.01,"3,945","26,874"
맵스리얼티1,"4,125",0.36,"3,829","30,581"
스카이라이프,"7,980",-0.37,"3,816","47,340"
코리아써키트,"15,830",1.80,"3,739","324,588"
케이씨텍,"17,850",-0.11,"3,724","14,223"
한국자산신탁,"2,995",-0.83,"3,713","95,115"
교보증권,"5,720",-0.87,"3,698","15,802"
HDC,"6,190",-0.48,"3,698","57,199"
영풍제지,"16,480",1.04,"3,674","96,888"
TIGER 차이나항셍테크,"5,800",-2.11,"3,669","1,766,665"
