종목,시세,등락률,시가총액(억),거래량(백만)
F&F홀딩스,"25,200",-1.37,"9,857","44,532"
롯데렌탈,"26,650",-1.3,"9,763","20,984"
다우기술,"21,700",0,"9,736","52,683"
하나투어,"60,500",-0.66,"9,704","55,525"
영원무역홀딩스,"70,400",0.28,"9,599","9,714"
롯데리츠,"3,910",0.13,"9,500","77,717"
KODEX 코스닥150레버리지,"8,140",0.18,"9,418","12,333,190"
명신산업,"17,860",-2.4,"9,371","248,543"
금호타이어,"3,260",-3.12,"9,365","198,968"
한국콜마,"40,550",-2.99,"9,278","63,960"
KODEX Top5PlusTR,"15,600",-1.3,"9,220","3,412"
삼양식품,"121,000",0,"9,115","26,917"
제이알글로벌리츠,"4,520",-0.44,"8,921","140,734"
코스맥스,"77,800",-3.83,"8,830","85,584"
KBSTAR KIS종합채권(A-이상)액티브,"96,225",-0.33,"8,762",21
태광산업,"782,000",-0.51,"8,707",508
미원상사,"179,400",-1.7,"8,701","1,545"
KG스틸,"8,700",1.05,"8,701","1,557,376"
진에어,"16,570",1.84,"8,650","151,667"
이노션,"42,850",0.12,"8,570","6,220"
ESR켄달스퀘어리츠,"4,015",-1.11,"8,556","29,538"
세아베스틸지주,"23,850",29.83,"8,553","1,441,158"
세방,"43,700",2.34,"8,438","88,578"
더블유게임즈,"45,950",-1.82,"8,443","18,119"
TKG휴켐스,"20,350",4.95,"8,319","478,296"
LG전자우,"48,150",-2.73,"8,275","26,914"
한올바이오파마,"15,590",-0.95,"8,144","178,577"
한일시멘트,"11,790",-2.32,"8,166","47,610"
CJ CGV,"17,100",-1.38,"8,161","46,755"
SBS,"43,950",2.93,"8,022","139,570"
신세계인터내셔날,"22,300",-2.41,"7,961","74,075"
바이오노트,"7,700",-3.51,"7,844","421,673"
대한해운,"2,425",-0.82,"7,740","799,301"
KODEX 단기채권,"105,095",0.01,"7,472","420,855"
넥센타이어,"7,640",-0.13,"7,462","53,186"
쏘카,"22,400",4.92,"7,337","94,917"
녹십자홀딩스,"15,590",-2.44,"7,332","62,700"
TIGER 200 IT,"29,500",-1.96,"7,298","15,119"
미원에스씨,"141,500",0.07,"7,217",727
동양생명,"4,400",0.11,"7,100","98,237"
현대그린푸드,"7,250",0,"7,084",-
세방전지,"50,400",-1.75,"7,056","48,432"
우리종금,802,0.25,"7,011","488,026"
제주은행,"21,750",0.46,"6,988","1,137,085"
SNT모티브,"47,700",-4.02,"6,975","22,259"
HDC현대산업개발,"10,460",-1.32,"6,894","139,149"
대상,"19,750",-1.5,"6,843","64,490"
한세실업,"16,990",-1.96,"6,796","108,612"
DN오토모티브,"67,400",-0.15,"6,736","10,324"
삼양홀딩스,"78,200",0.26,"6,697","9,507"
대신증권,"13,090",-0.3,"6,646","13,997"
해성디에스,"39,100",-2.01,"6,647","39,647"
쿠쿠홈시스,"29,600",0.17,"6,641","23,407"
효성중공업,"70,800",0,"6,602","40,643"
한화투자증권,"3,060",-1.61,"6,565","285,448"
LX홀딩스,"8,480",-0.47,"6,469","107,322"
KCC글라스,"40,200",-0.25,"6,420","10,359"
한섬,"26,050",-2.25,"6,416","29,430"
세아제강지주,"155,300",-3.42,"6,432","79,807"
